Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Maupassant; Bel-Ami; Parte seconda, I; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, I; gare Saint-Lazare; 13 Rue d’Amsterdam; 9; 48.877075, 2.326334; gare; Duroy, Madeleine Forestier; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, II; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, II; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, II; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, II; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Duroy, Madeleine Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, II; Tortoni; 22 Boulevard des Italiens; 9; 48.872014, 2.336861; café; Duroy, Madeleine Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, III; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Boisrenard; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy, madame Walter, Clotidle de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Laurine, Clotilde de Marelle; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Walter; Boulevard Malesherbes; 17; 48.887608, 2.304538; maison; Duroy, madame Walter, Suzanne Rose; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Walter; Boulevard Malesherbes; 17; 48.887608, 2.304538; maison; Duroy, madame Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, III; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy, madame Walter, madame Laroche-Mathieu, madame Rissolin, viscontessa Percemur, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IV; Église de la Trinité; Place d’Estienne d’Orves; 9; 48.876618, 2.332195; église; Duroy, madame Walter; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, IV; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Walter, Boisrenard; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IV; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IV; Parc Monceau; Parc Monceau; 8; 48.879372, 2.30887; jardin publique; Duroy, madame Walter; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, IV; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, madame Walter; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, madame Walter; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez conte Vaudrec; rue Chaussée-d’Antin; 9; 48.874434, 2.332608; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, V; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; Notaio Lamaneur; 17 place des Vosges; 4; 48.856013, 2.364701; notaire; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; Notaio Lamaneur; 17 place des Vosges; 4; 48.856013, 2.364701; notaire; Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; Notaio Lamaneur; 17 place des Vosges; 4; 48.856013, 2.364701; notaire; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VI; Théâtre du Vaudeville; 27 bis Rue Vivienne; 2; 48.869068, 2.34003; théâtre; Duroy, Madeleine Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, VI; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Madeleine Duroy, Clotilde de Marelle, Monsieur de Marelle; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte seconda, VII; Jockey-Club;1 Rue Scribe; 9; 48.870763, 2.32976; club; Walter; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte seconda, VII; chez Walter; Rue du Faubourg-Saint-Honoré; 8; 48.871613, 2.31476; maison; Duroy, Madeleine Duroy, madame Walter, duchessa de Ferracine, conte e contessa de Ravenel, principe d’Andremont, marchesa des Dunes, Suzanne Walter, Walter, Laroche-Mathieu, marchese de Cazolles, Norbert de Varenne, Boisrenard, Saint-Potin, viscontessa de Parcemur, monsieur de Marelle, Clotilde de Marelle; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VII; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VII; chez Walter; Rue du Faubourg-Saint-Honoré; 8; 48.871613, 2.31476; maison; Duroy, Madeleine Duroy, madame Walter, Walter, Suzanne Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; chez Walter; Rue du Faubourg-Saint-Honoré; 8; 48.871613, 2.31476; maison; Duroy, Suzanne Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; Place Notre-Dame de Lorette; Rue de Châteaudun; 9; 48.875994, 2.338544; place; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, VIII; Coq-Faisan; rue Lafayette; 9; 48.874109, 2.337134; restaurant; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; huissier Guilbert de Lorme; rue Catherine de La Rochefoucauld; 9; 48.877846, 2.334311; maison; Duroy, Guilbert de Lorme; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; rue des Martyrs; rue des Martyrs; 18; 48.883783, 2.339726; maison; Duroy, Guilbert de Lorme, Madeleine Duroy, Laroche-Mathieu; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, VIII; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IX; chez Walter; Rue du Faubourg-Saint-Honoré; 8; 48.871613, 2.31476; maison; Duroy, Walter, madame Walter, Suzanne, conte Latour-Yvelin, Rose; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IX; chez Duroy; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, IX; place de La Concorde; Avenue des Champs-Élysées; 8; 48.86545, 2.321134; place; Duroy, Suzanne; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte seconda, X; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, X; Église de la Madeleine; Place de la Madeleine; 8; 48.870137, 2.324563; église; Norbert de Varenne, Jacques Rival, Walter, Suzanne Walter, madame Walter, marchese de Latour-Yvelin, Rose, sentaore Rissolin, conte Latour-Yvelin, viscontessa Percemur, Duroy, Clotilde de Marelle; inexacte; vécu; droite; réel
